mz,intensity,rt
236.15439,124530,502.8
241.15518,145053,313.8
459.18109,194611,316.8
260.0088,1125042,352.8
158.15389,368555,581.4
221.16442,22188,213
546.319,39879,252
383.25528,15331,1078.2
351.33648,37479,783.6
431.77007,96030,520.8
174.05086,37792,280.8
517.3202,40753,720.6
216.08091,113245,526.8
304.2558,152354,595.8
411.08988,60813,835.8
366.32092,51909,1050.6
155.12818,23745,177.6
539.1258,87429,399
153.07902,17691,216
391.7584,86618,472.8
254.21737,53404,723.6
153.0952,48927,216
171.05052,65159,72
317.2149,3896195,234
304.10996,28714,687
593.32461,761405,448.8
743.30158,223113,835.8
295.28453,19410,747
265.15812,33886,535.8
278.22389,85358,401.4
513.6606,32016,705.6
157.05071,73342,60.6
501.24074,314565,665.4
261.05191,33015,561
482.40381,23569,1128
399.15665,39897,509.4
432.15881,43733,823.2
454.3219,41628,549.6
328.06727,25965,681
507.25723,14966,216
231.10761,32202,601.8
279.1523,29575,881.4
255.20602,42067,96
153.03905,26194,216
416.2313,24292,111
484.33231,4059243,552.6
418.19699,72545,189.6
204.11303,18728,126
156.94912,104312,63.6
320.19853,25111,620.4
295.062,200357,626.4
454.62651,42480,696
154.1526,197807,246
443.96541,31791,620.4
330.30022,46133,832.2
157.04585,129014,63.6
201.13839,83524,328.2
423.27488,1425474,393
533.84199,499959,424.2
157.03043,392367,60.6
245.14133,104008,526.8
212.12272,46421,373.2
422.11252,123229,339
267.19111,16051,135
251.16829,158172,325.2
327.13727,8611409,406.8
326.08236,41214,487.2
429.27122,25427,454.8
244.25501,19193,835.8
375.11567,124683,817.2
234.16216,40471,509.4
328.14032,1606145,406.8
415.05052,29852,292.2
508.33162,60268,1065.6
121.06815,21265,86.4
408.18826,35625,421.8
263.13612,153098,529.8
477.04844,64865,350.4
254.05916,5067831,300.6
226.15998,380508,426.6
440.21234,36976,341.4
558.3406,185924,549.6
304.25393,43430,598.8
277.14328,20221,668.4
215.12527,230969,295.2
288.29522,614049,804.6
587.45493,36284,1053.6
424.07786,23951,289.2
435.13376,173581,168.6
683.00332,14492,153.6
243.12638,22077,906
154.08609,1107988,195
640.41014,17338,1065.6
144.08779,16390,44.4
289.28455,79605,804.6
241.09919,173626,737.4
252.14162,44364,393
126.2463,6937,54
235.14566,21427,274.8
560.19753,17810,177.6
189.07861,48132,330.6
200.06019,34389,435
494.33552,79951,511.8
236.1481,46847,617.4
238.15455,13231,147
256.05462,94687,300.6
207.11666,9703973,440.4
331.20848,14947181,432
555.85524,416667,432
278.18369,110496,552.6
310.07985,206085,635.4
227.92794,65116,759
244.2272,3586038,823.2
278.20719,336632,401.4
163.12312,5542560,283.8
348.08694,20885,213
389.21946,123846,708.6
298.28854,55736,635.4
354.24779,44364,404.4
260.17193,71863,429.6
604.40726,51743,690
259.22192,16222,204
312.15619,107062,823.2
244.14897,74818,529.8
218.09804,5611332,526.8
427.19732,1707741,303
191.97908,2285560,249
190.1547,672430,57.6
126.12033,9808,54
257.06827,44667,347.4
225.05277,10079,54
192.15134,41950,538.8
148.09682,29099,195
221.09169,302549,341.4
401.02622,34851,693
265.06063,54118,592.8
479.41536,94790,274.8
240.12175,115330,378.6
116.05712,37524,396
261.10098,591783,714.6
215.10953,197628,421.8
322.18941,240898,132
198.13834,143505,316.8
157.12033,120665,63.6
576.24206,75427,735
126.11457,8356,54
121.10107,48876,823.2
347.22676,75270,108
143.10649,14744,9.6
406.24592,82622,541.2
159.03034,11987617,60.6
540.35726,69879,454.8
222.03909,48387,339
163.07529,270659,367.2
218.11035,34411,520.8
293.97659,16395,180.6
154.15897,183308,123
420.0281,228003,457.8
362.05751,52273,538.8
178.12737,54129,289.2
357.24456,21494,699
166.12724,45095,192
199.00596,498448,283.8
477.1154,43634,566.4
499.31209,32174,598.8
234.06208,51139,283.8
259.10939,530973,569.4
476.27485,158981,517.8
366.22674,27811,1199.4
394.15007,9032,63.6
358.23212,53126,1105.8
212.18288,36851,344.4
670.94818,24354,696
284.07829,31890,246
479.26864,39373,737.4
427.19403,70342,543.6
629.07951,30424,720.6
549.24223,70312,336
240.09856,47717,396
256.2935,79559,909
272.00447,44542,635.4
294.24247,31466,589.8
234.04373,168806,426.6
597.2905,68249,732
429.2907,28156,617.4
485.62961,21858,696
222.11226,39203,352.8
181.10797,106219,63.6
293.21275,157622,406.8
314.07139,355834,561
561.36658,30260,649.8
256.15882,49918,514.8
173.09421,25067,98.4
129.12726,65128,737.4
649.44967,774866,1108.8
157.01726,26368,469.8
360.02429,44337,418.8
295.20763,126960,561
217.17985,253286,740.4
283.01562,59897,435
254.08846,13539,243
430.76173,954480,632.4
271.18778,190308,649.8
295.18047,1004475,454.8
237.1199,28259,490.2
365.15456,48986,210
358.07789,267164,401.4
477.27835,31980,517.8
458.27914,27299,853.8
252.05966,69542,192
192.1325,101899,538.8
242.11462,139427,308.4
272.15667,118136,726
364.0132,48526,367.2
206.08913,13383,1146.6
486.27452,32451,543.6
265.06318,284301,111
256.28005,29499,906
314.27627,29920,681
264.20787,51114,406.8
152.10682,127220,81
375.23152,55858,254.4
116.98453,36445,41.4
302.04608,628012,798.6
551.26822,31978,252
383.08429,1140922,457.8
134.09612,50854,355.8
345.23136,388320,265.8
252.19178,105007,319.8
278.175,398017,384.6
212.16722,35199,341.4
485.22286,32495,601.8
643.29131,52630,409.8
439.29342,39383,581.4
327.08785,219434,626.4
172.11576,219337,195
170.11736,41679,339
121.08318,18204,89.4
193.97603,316319,249
313.01409,34864,387.6
228.2543,128697,762
190.09952,55262,300.6
253.17747,92741,401.4
408.03794,77661,378.6
477.9885,52860,665.4
350.97103,34654,674.4
334.23736,55249,418.8
423.17593,52341,240
252.17016,18307,83.4
480.8285,80826,581.4
232.1386,915858,823.2
289.16199,25547,308.4
155.16239,51149,246
229.1353,57446,759
404.21608,65196,659.4
575.38059,21579,740.4
481.30233,74263,412.8
375.18061,58454,256.8
446.31466,43699,1105.8
331.13527,18124,165
126.09832,28940,57.6
235.18044,204781,626.4
202.22185,71707,644.4
240.15239,53272,132
224.12781,31143,355.8
272.17393,67401,726
136.11196,220438,117
643.13485,101556,373.2
296.2216,29203,856.8
528.33938,45868,708.6
242.11156,9495661,378.6
288.50248,43294,804.6
237.02872,337536,629.4
244.20583,65533,509.4
145.11611,1029592,44.4
454.97412,36769,792.6
460.24067,20142,841.8
182.00915,138470,129
264.19973,131778,319.8
463.28991,32780,393
193.05316,26410,361.8
300.1955,33421,687
346.14117,37470,708.6
199.13778,3322994,316.8
615.38412,30542,610.8
355.06449,65651,435
143.06757,54240,86.4
126.08985,10445,60.6
246.24044,44046,274.8
353.25864,25592,505.8
215.10616,52751,443.4
236.15279,37543,649.8
667.97526,21394,1180.8
229.14288,29328,481.8
158.15327,953430,69
447.27236,25999,466.8
209.08059,27920,475.8
202.0646,69030,435
247.07404,38652,629.4
180.08082,561632,280.8
418.11747,26482,341.4
205.08546,21857,687
453.30917,28737,696
316.06076,71255,538.8
432.81544,23765,1105.8
750.41733,37611,254.4
144.10436,16095,44.4
159.96859,13020,117
254.13721,56544,903
239.13905,59003,316.8
383.16716,713145,659.4
244.19063,3792020,629.4
332.26902,42143,361.8
433.27273,333579,535.8
287.14206,22087,198
180.06561,388106,393
152.91363,25404,216
581.37567,25390,771
443.63107,48838,617.4
198.98474,41515,549.6
291.12922,21305,256.8
496.22292,128877,424.2
259.07449,297257,832.2
240.15281,4235972,316.8
235.15375,30912,384.6
570.4569,42266,1128
484.97066,25854,598.8
524.85439,74739,595.8
562.02417,29099,743.4
499.20071,1072211,490.2
565.70392,24424,684
397.24918,24795,246
225.82948,69668,426.6
199.06824,47729,437.4
562.22773,35728,737.4
656.90506,18914,460.8
468.01702,1634524,662.4
226.08059,1543413,732
390.15192,30325,92.4
315.18904,25037,587.4
438.29172,45386,451.8
556.17567,45589,180.6
748.48436,10177587,614.4
147.06491,21390,101.4
267.07584,87685,409.8
363.11899,902099,662.4
824.51925,50279,629.4
321.0703,1725209,786.6
423.0483,28172,662.4
362.75825,19499,240
357.22843,493842,514.8
127.11131,83603,373.2
256.18424,39926,511.8
157.07993,52485,189.6
187.03687,94442,361.8
149.07396,52948,96
468.10987,23995,940.2
508.3226,49751,481.8
117.09075,12426,1320.6
207.15259,159749,555
214.0702,283276,393
167.1429,31676,823.2
337.24594,87478,268.8
526.21693,80169,404.4
513.1077,59862,572.4
504.33672,115175,384.6
416.30528,15724,1053.6
256.28172,15437,909
316.06827,72302,563.4
609.38842,38324,352.8
343.21408,54812,737.4
158.09231,54460,138
173.97715,38857,41.4
317.11446,26231,41.4
342.23664,42758,98.4
268.10483,61305,783.6
321.01323,21829,674.4
522.31936,39425,404.4
218.1536,62946,690
199.17631,62885,535.8
360.09376,927958,401.4
314.14699,35951,783.6
375.19748,140789,254.4
256.16922,149688,786.6
196.11298,26106,86.4
183.14918,249980,210
626.91925,25870,687
308.15733,48606,807.6
324.98247,78854,668.4
286.15664,24559,83.4
256.10362,100538,610.8
286.14335,33799,581.4
349.14112,1700434,41.4
226.05246,81263,341.4
343.08026,251090,810.6
527.22765,111945,303
177.1434,40858,96
264.22587,56110,322.8
331.15317,23462,162.6
414.06145,90403,339
148.11197,724340,192
254.08648,162404,638.4
525.32351,26583,277.8
679.46027,30409,1053.6
201.49763,35422,641.4
253.17607,52528,448.8
242.13536,274995,526.8
298.99928,410861,687
688.52084,1248937,1108.8
337.02668,26565,490.2
310.14623,179786,592.8
379.2806,21147,1346.4
157.05443,104955,60.6
516.24511,29182,213
350.20654,52875,277.8
287.11919,186257,333
261.15366,39334,111
250.18599,65574,322.8
212.16984,47722,344.4
205.0848,17912,887.4
281.08672,157385,252
426.10608,7354767,624
146.93751,43851,31.8
277.08534,2009393,632.4
217.12838,23426,601.8
190.17072,10875,162.6
215.56851,25668,490.2
207.17606,176364,325.2
279.21459,8040810,401.4
372.11982,36379,577.8
428.11172,127820,624
193.08011,487165,231.6
440.04417,25682,364.2
443.94739,32335,463.8
299.06672,218805,632.4
301.06808,25774,687
126.06604,46454,57.6
258.05644,1769083,308.4
234.14956,103071,165
203.16621,4761062,286.2
326.17466,30257,614.4
246.14096,23530,243
299.02421,105374,801.6
280.14698,201032,546.6
614.48304,38568,1125
508.31591,230527,426.6
163.08833,223890,370.2
238.06964,324938,478.8
244.27731,19615,835.8
201.14088,49751,316.8
390.22191,23356,708.6
177.13542,100094,98.4
239.14065,88799,313.8
161.09589,81792,401.4
126.10238,20491,505.8
212.14484,226828,341.4
458.31997,34384,572.4
379.24432,64105,563.4
406.12969,493812,624
282.20387,663740,629.4
572.36576,40200,717
416.32513,28338,789.6
474.24791,124952,659.4
272.17939,181722,252
477.27103,270895,466.8
385.07016,47809,601.8
147.09157,113091,111
563.84809,84190,563.4
196.13307,113038,401.4
256.13834,614329,563.4
576.15693,179511,629.4
166.1935,18401,192
348.23095,44748,174.6
153.11098,31202,216
245.0779,22115,813.6
392.74769,168095,387.6
449.22497,212642,735
242.17362,36468,344.4
160.02342,28058,132
205.07589,100391,195
436.28238,40499,316.8
172.07144,32180,313.8
245.04516,25060,72
320.2073,60865,1022.4
256.01032,78791,350.4
528.32518,94864,726
236.1878,47415,277.8
411.02005,487468,280.8
383.24414,1806268,563.4
144.12567,16363,44.4
404.15885,25512,262.8
434.09066,109314,451.8
860.50233,27519,871.8
238.10368,49786,737.4
465.3204,55782,624
236.17166,140245,549.6
117.05216,60358,393
136.10859,27940,240
189.0851,1016659,330.6
532.35911,23109,1105.8
526.24636,27126,373.2
261.17167,110720,262.8
403.15874,60047,478.8
246.10961,24562,246
200.10326,26956,469.8
294.1851,154525,418.8
228.11809,52382,759
829.22356,589105,624
201.13102,35627,111
184.12508,50980,186.6
493.26631,63911,543.6
631.48065,28851,1056.6
315.17124,2152282,798.6
223.16723,15586,903
486.35772,15225,1105.8
334.9966,23066,750
234.1681,107759,607.8
238.14086,67268,466.8
135.09652,20306,198
